spawn_id,created_at,secs,status,agent_type,depth,prompt_len,fr_len,refused
2,1789367767,23,0,0,1,1243,2516,0
3,1789367767,15,0,0,1,1158,1983,0
1,1789367767,12,0,0,1,1129,1756,0
4,1789368226,190,0,0,1,1960,3184,0
5,1789368233,102,0,0,1,1426,2152,0
6,1789369770,47,0,1,1,1228,-1,0
7,1789370272,1,0,0,1,1221,384,1
8,1789370536,106,0,0,1,3902,2493,0
9,1789371351,58,0,1,1,1115,-1,0
10,1789371413,8,0,1,1,871,-1,0
11,1789371782,22,0,0,1,901,3078,0
12,1789371782,45,0,0,1,831,4324,0
13,1789373436,98,0,0,1,4117,2767,0
14,1789374195,182,0,0,1,3140,3029,0
15,1789376178,73,0,0,1,2111,9135,0
16,1789376555,3242,0,0,1,257,8529,0
17,1789376569,427,0,0,2,257,1044,0
18,1789376619,519,0,0,1,257,3395,0
19,1789376920,274,0,0,1,1564,2807,0
20,1789377041,1906,0,0,2,253,4675,0
21,1789377185,313,0,0,1,257,4424,0
22,1789377186,80,0,0,1,257,3804,0
23,1789377275,406,0,0,1,257,5902,0
27,1789378505,266,0,0,1,1578,6266,0
26,1789378505,173,0,0,1,1399,7278,0
28,1789378505,55,0,0,1,1498,2727,0
24,1789378505,59,0,0,1,1419,4545,0
25,1789378505,62,0,0,1,1412,4872,0
29,1789378546,1113,0,0,1,2115,1919,0
32,1789378564,220,0,0,2,2427,1080,0
30,1789378564,12,0,0,2,2039,164,0
33,1789378564,1090,0,0,2,2285,949,0
31,1789378564,139,0,0,2,2644,276,0
34,1789378611,725,1,0,1,257,94,0
35,1789378611,260,0,0,1,257,1242,0
37,1789378654,280,0,0,1,257,1954,0
39,1789378654,21,0,0,1,1548,3078,0
38,1789378654,46,0,0,1,1842,1922,0
40,1789378654,683,1,0,1,207,94,0
36,1789378654,124,0,0,1,1276,1451,0
41,1789378702,635,1,0,1,207,94,0
42,1789378762,1732,0,0,1,257,949,0
43,1789378841,496,1,0,1,207,94,0
44,1789378841,496,1,0,2,2226,94,0
46,1789378922,42,0,0,2,1851,2721,0
45,1789378922,34,0,0,2,2096,2011,0
47,1789378936,402,1,0,1,207,94,0
48,1789378949,389,1,0,1,257,94,0
49,1789378975,363,1,0,1,257,94,0
50,1789378975,6971,0,0,1,243,2252,0
51,1789379011,664,0,0,1,255,3065,0
52,1789379110,228,1,0,1,1361,94,0
53,1789379142,196,1,0,1,1133,94,0
54,1789379144,195,1,0,1,2122,94,0
55,1789379145,194,1,0,1,1921,94,0
56,1789379345,327,0,0,1,2008,3815,0
57,1789379349,343,0,0,1,2027,2432,0
58,1789379351,695,0,0,1,2209,3147,0
59,1789379359,1194,0,0,1,257,2952,0
62,1789379401,17,0,0,1,1118,155,0
66,1789379401,462,0,0,1,1057,2744,0
64,1789379401,1025,0,0,1,257,2497,0
63,1789379401,2131,0,0,1,255,164,0
61,1789379401,3360,0,0,1,255,1068,0
60,1789379401,4557,0,0,1,259,3791,0
65,1789379401,1964,0,0,1,255,3164,0
67,1789379439,71,0,0,2,1583,1396,0
68,1789379558,425,0,0,2,3009,12093,0
69,1789379668,5531,0,0,2,221,2824,0
70,1789379790,544,0,0,1,3323,3469,0
71,1789379961,34,0,0,2,1887,2413,0
72,1789379994,47,0,0,2,3157,3115,0
73,1789379994,358,0,0,2,3903,3803,0
74,1789380436,3536,0,0,1,257,586,0
75,1789380679,3237,0,0,1,257,2956,0
76,1789380849,183,0,0,1,1631,4134,0
77,1789381006,160,0,0,2,3441,3136,0
78,1789381020,257,0,0,1,257,7184,0
79,1789381044,1353,0,0,1,257,3510,0
80,1789381070,502,0,0,1,257,9003,0
81,1789381351,1410,0,0,1,255,1321,0
82,1789381502,340,0,0,1,1624,3678,0
83,1789381668,2122,0,0,1,255,4117,0
85,1789382097,664,0,0,1,255,6033,0
84,1789382097,850,0,0,1,259,373,0
